Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1-Score,AUC-ROC,PR-AUC
Random Forest,0.9277191372189078,0.6060786737922417,0.8118811881188119,0.21693121693121692,0.34237995824634654,0.9178148606052012,0.6024575476549616
Logistic Regression,0.8413645403090102,0.8305475791656696,0.33178239083750893,0.8174603174603174,0.4719959266802444,0.9097196742087865,0.5901876637266574
Support Vector Machine (RBF),0.8726480036714089,0.8313141988602626,0.3847155883630048,0.781305114638448,0.5155659004946174,0.9081705189675596,0.49827264421343165
